category,category_inch,frame_size,weight (lbs),engine,engine_position,engine_power,mph,battery_type,battery_chara_Wh,battery_chara_Ah,battery_chara_V,battery_position,Gearshift,Gears,Gearshift_Brand,Brakes_Type,Brakes_Model,Suspension_front_rear,Suspension_brand,Suspension_model,Permissible_max_weight_lbs,Lighting,Rack,Fenders,Company_Name,Price,Model_year,Frame_type,ebike_type
CargoBike,24,,93,broseDriveC,midengine,250,20,Lithium-IonenAkku,504,15,36,underpipe,derailleur,,ShimanoAcera,"['Hydraulische', 'Scheibenbremsen']",TEKTROT525/T530Hydraulisch–Scheiben2x140mmvorne/180mmhinten,No/No,,,496,Yes,Yes,Yes,Johansson,3411,2021,unisex,Pedelec
CargoBike,24,,93,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,15,36,underpipe,derailleur,,ShimanoAcera,"['Hydraulische', 'Scheibenbremsen']",TEKTROT525/T530Hydraulisch–Scheiben2x140mmvorne/180mmhinten,No/No,,,496,Yes,Yes,Yes,Johansson,3851,2021,unisex,Pedelec
CargoBike,20,,99,broseDriveC,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,derailleur,10,ShimanoDeore,"['Hydraulische', 'Scheibenbremsen']",TEKTROT525/T530Hydraulisch–Scheiben2x140mmvorne/180mmhinten,Yes/No,,,507,Yes,Yes,Yes,Johansson,5227,2021,unisex,Pedelec
MountainBike/ATB,28,"M,L",57,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,14,36,,derailleur,11,SRAMNX,"['Hydraulische', 'Scheibenbremsen']",SHIMANOMT200,Yes/No,SRSuntour,SRSUNTOURRAIDON34BOOST130MM/LOR/DS/E-BIKE,287,No,No,No,BEEQ,3851,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,14,36,,derailleur,11,SRAMNX,"['Hydraulische', 'Scheibenbremsen']",SHIMANOMT200,Yes/No,SRSuntour,SRSUNTOURRAIDON34BOOST130MM/LOR/DS/E-BIKE,287,No,No,No,BEEQ,3851,2021,unisex,Pedelec
MountainBike/ATB,28,"M,L",57,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,14,36,,derailleur,11,SRAMNX,"['Hydraulische', 'Scheibenbremsen']",SHIMANOMT200,Yes/No,SRSuntour,SRSUNTOURRAIDON34BOOST130MM/LOR/DS/E-BIKE,287,No,No,No,BEEQ,3851,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,14,36,,derailleur,11,SRAMNX,"['Hydraulische', 'Scheibenbremsen']",SHIMANOMT200,Yes/No,SRSuntour,SRSUNTOURRAIDON34BOOST130MM/LOR/DS/E-BIKE,287,No,No,No,BEEQ,3851,2021,unisex,Pedelec
TrekkingBike,28,"M,L",62,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,14,36,,derailleur,10,ShimanoDeoreM6000,"['Hydraulische', 'Scheibenbremsen']",SHIMANOMT200,No/No,,,287,Yes,Yes,Yes,BEEQ,3411,2021,male,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,14,36,,derailleur,10,ShimanoDeoreM6000,"['Hydraulische', 'Scheibenbremsen']",SHIMANOMT200,No/No,,,287,Yes,Yes,Yes,BEEQ,3411,2021,male,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,14,36,,derailleur,10,ShimanoDeoreM6000,"['Hydraulische', 'Scheibenbremsen']",SHIMANOMT200,No/No,,,287,Yes,Yes,Yes,BEEQ,3411,2021,male,Pedelec
,28,,,broseDriveC,midengine,250,20,Lithium-IonenAkku,504,14,36,,hub,8,ShimanoNexus8,"['Hydraulische', 'Scheibenbremsen']",CLARKSM2,No/No,,,287,Yes,Yes,Yes,BEEQ,3081,2021,low step,Pedelec
,28,,,broseDriveC,midengine,250,20,Lithium-IonenAkku,504,14,36,,hub,8,ShimanoNexus8,"['Hydraulische', 'Scheibenbremsen']",CLARKSM2,No/No,,,287,Yes,Yes,Yes,BEEQ,3081,2021,low step,Pedelec
City/Urban,28,"L,M",62,broseDriveC,midengine,250,20,Lithium-IonenAkku,504,14,36,,hub,8,ShimanoNexus8,"['Hydraulische', 'Scheibenbremsen']",CLARKSM2,No/No,,,287,Yes,Yes,Yes,BEEQ,3081,2021,low step,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,635,18,36,underpipe,hub,9,ENVIOLOCargogroupset,"['Hydraulische', 'Scheibenbremsen']",TEKTROGeminiHydraulic–Disk180mm,Yes/No,,,441,Yes,Yes,Yes,Douze Cycles,5206,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,635,18,36,underpipe,hub,9,SRAM,"['Hydraulische', 'Scheibenbremsen']",TEKTROGeminiHydraulic–Disk180mm,Yes/No,,,441,Yes,Yes,Yes,Douze Cycles,6131,2021,unisex,Pedelec
,28,,,broseDriveT,midengine,250,20,Lithium-IonenAkku,635,17,36,,hub,8,ShimanoAlfine,"['Hydraulische', 'Scheibenbremsen']",TektroAuriga,No/No,,,408,Yes,Yes,Yes,SBLOCS,6929,2021,unisex,Pedelec
,28,,,broseDriveT,midengine,250,20,Lithium-IonenAkku,635,17,36,,hub,8,ShimanoAlfine,"['Hydraulische', 'Scheibenbremsen']",TektroAuriga,No/No,,,408,Yes,Yes,Yes,SBLOCS,7039,2021,unisex,Pedelec
City/Urban,28,"S,M,L,XL",57,broseDriveT,midengine,250,20,Lithium-IonenAkku,418,12,36,,hub,7,ShimanoNexus,"['Mechanische', 'Scheibenbremsen']",Tektro,Yes/No,,,331,Yes,Yes,Yes,Elops,1650,2021,male,Pedelec
City/Urban,28,"S,M,L,XL",55,broseDriveT,midengine,250,20,Lithium-IonenAkku,418,12,36,,hub,7,ShimanoNexus,"['Mechanische', 'Scheibenbremsen']",Tektro,Yes/No,,,331,Yes,Yes,Yes,Elops,1650,2021,female,Pedelec
CargoBike,26,,88,broseDriveT,midengine,250,20,Lithium-IonenAkku,635,17,36,,hub,8,ShimanoAlfine,"['Hydraulische', 'Scheibenbremsen']",TektroAuriga,No/No,,,408,Yes,Yes,Yes,SBLOCS,7149,2021,unisex,Pedelec
,26,,,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,522,15,36,,derailleur,11,,"['Hydraulische', 'Scheibenbremsen']",,Yes/No,,,-,No,No,No,My Esel,4942,2021,unisex,Pedelec
,26,,,broseDriveT,midengine,250,20,Lithium-IonenAkku,420,12,36,,derailleur,10,ShimanoDeoreM6000,"['Hydraulische', 'Scheibenbremsen']",Tektro-TKD32,Yes/No,RockShox,RockshoxJudysilverTK,-,No,No,No,Rockrider,2310,2021,unisex,Pedelec
,26,,,broseDriveT,midengine,250,20,Lithium-IonenAkku,420,12,36,,derailleur,9,MicroshiftAdvent,"['Hydraulische', 'Scheibenbremsen']",Tektro-TKD88,Yes/No,RockShox,XC30,-,No,No,No,Rockrider,1980,2021,unisex,Pedelec
MountainBike/ATB,28,"S,M,L",51,broseDriveT,midengine,250,20,Lithium-IonenAkku,420,12,36,,derailleur,9,MicroshiftAdvent,"['Hydraulische', 'Scheibenbremsen']",Tektro-TKD88,Yes/No,RockShox,XC30,-,No,No,No,Rockrider,1980,2021,unisex,Pedelec
,28,,,broseDriveT,midengine,250,20,Lithium-IonenAkku,420,12,36,,derailleur,10,ShimanoDeoreM6000,"['Hydraulische', 'Scheibenbremsen']",Tektro-TKD32,Yes/No,RockShox,RockshoxJudysilverTK,-,No,No,No,Rockrider,2310,2021,unisex,Pedelec
,28,,,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,630,18,36,,derailleur,11,ShimanoXTRD-M800011-GangSGSTOPNORMALBLACK,"['Hydraulische', 'Scheibenbremsen']",ShimanoMT7120,Yes/No,DTSwiss,F535ONE140MM,298,No,No,No,e-FRAMER,5012,2021,unisex,Pedelec
,28,,,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,630,18,36,,derailleur,11,ShimanoXTRD-M800011-GangSGSTOPNORMALBLACK,"['Hydraulische', 'Scheibenbremsen']",ShimanoMT7120,Yes/No,DTSwiss,F535ONE140MM,298,No,No,No,e-FRAMER,5012,2021,unisex,Pedelec
MountainBike/ATB,28,"S,M,L",55,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,630,18,36,,Schaltung,12,ShimanoXTRD-M810012-GangSGSTOPNORMALBLACK,"['Hydraulische', 'Scheibenbremsen']",ShimanoM-8100,Yes/Yes,RockShox,FSPikeSoloAir,309,Yes,Yes,Yes,e-FRAMER,6582,2021,unisex,Pedelec
,28,,,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,630,18,36,,Schaltung,12,ShimanoXTRD-M810012-GangSGSTOPNORMALBLACK,"['Hydraulische', 'Scheibenbremsen']",ShimanoM-8100,Yes/Yes,RockShox,FSPikeSoloAir,309,Yes,Yes,Yes,e-FRAMER,6582,2021,unisex,Pedelec
MountainBike/ATB,28,"S,M,L",62,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,630,18,36,,Schaltung,11,ShimanoDeoreRD-M610012-GangSGSTOPNORMALBLACK,"['Hydraulische', 'Scheibenbremsen']",ShimanoBL-MT401,Yes/Yes,RockShox,FSPikeSoloAir,309,Yes,Yes,Yes,e-FRAMER,6582,2021,unisex,Pedelec
,28,,,broseDriveTMag,midengine,250,20,Lithium-IonenAkku,630,18,36,,derailleur,9,ShimanoDeoreRD-M3100-SSGSTOPNORMALBLACK,"['Hydraulische', 'Scheibenbremsen']",ShimanoScheibenbremssetMT200,Yes/No,SRSuntour,NEX-E25,298,Yes,Yes,Yes,e-FRAMER,4176,2021,low step,Pedelec
,28,,,broseDriveTMag,midengine,250,20,Lithium-IonenAkku,630,18,36,,derailleur,10,ShimanoSLXRD-T6000-SSGSTOPNORMALBLACK,"['Hydraulische', 'Scheibenbremsen']",ShimanoMT520,Yes/No,SRSuntour,NEX-E25,298,Yes,Yes,Yes,e-FRAMER,4488,2021,unisex,Pedelec
City/Urban,28,"S,M,L,XL",60,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,529,15,36,underpipe,automatic,,,"['Hydraulische', 'Scheibenbremsen']",,No/No,,,-,Yes,No,No,SERIAL 1,5062,2021,low step,Pedelec
,28,,,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,529,15,36,,speed,1,,"['Hydraulische', 'Scheibenbremsen']",,No/No,,,-,Yes,No,No,SERIAL 1,3851,2021,unisex,Pedelec
City/Urban,28,"S,M,L,XL",60,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,706,20,36,underpipe,automatic,,,"['Hydraulische', 'Scheibenbremsen']",,No/No,,,-,Yes,No,No,SERIAL 1,5172,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,14,36,underpipe,derailleur,10,,"['Hydraulische', 'Scheibenbremsen']",,Yes/No,,,331,Yes,Yes,Yes,Fischer,2806,2021,female,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,504,14,36,underpipe,hub,10,,"['Hydraulische', 'Scheibenbremsen']",,Yes/No,,,331,Yes,Yes,Yes,Fischer,2861,2021,male,Pedelec
,28,,,broseDriveC,midengine,250,20,Lithium-IonenAkku,504,14,36,underpipe,derailleur,10,,"['Hydraulische', 'Scheibenbremsen']",,Yes/No,,,331,Yes,Yes,Yes,Fischer,2585,2021,unisex,Pedelec
,28,,,broseDriveC,midengine,250,20,Lithium-IonenAkku,504,14,36,underpipe,hub,7,ShimanoNexus,"['Hydraulische', 'Felgenbremsen']",Shimano,Yes/No,,,298,Yes,Yes,Yes,Fischer,2640,2021,low step,Pedelec
MountainBike/ATB,28,"M,L",49,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,750,21,36,underpipe,derailleur,12,ShimanoXTR12G(10-51),"['Hydraulische', 'Scheibenbremsen']",MaguraMT7,Yes/No,FOX,FOX38FLOATPERFORMANCE170MM/FITGRIP/3-POSMICROADJUST/E-BIKE+/OD-CROWN,309,No,No,No,M1 Sporttechnik,9905,2021,unisex,Pedelec
,28,,,broseDriveSMag,midengine,250,28,Lithium-IonenAkku,750,21,36,underpipe,derailleur,12,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT5e,Yes/No,FOX,FOX38FLOATPERFORMANCE170MM/FITGRIP/3-POSMICROADJUST/E-BIKE+/OD-CROWN,309,Yes,No,No,M1 Sporttechnik,11005,2021,unisex,S-Pedelec
MountainBike/ATB,28,"M,L",49,broseDriveSMag,midengine,250,28,Lithium-IonenAkku,750,21,36,underpipe,derailleur,10,ShimanoXT12G(10-51),"['Hydraulische', 'Scheibenbremsen']",MaguraMT5e,Yes/Yes,FOX,FOX36FactoryE-OptimizedGrip2,309,Yes,No,No,M1 Sporttechnik,8804,2021,unisex,S-Pedelec
MountainBike/ATB,28,"M,L",,broseDriveSMag,midengine,250,28,Lithium-IonenAkku,750,21,36,underpipe,derailleur,12,ShimanoXT12G(10-51),"['Hydraulische', 'Scheibenbremsen']",MaguraMT5e,Yes/No,FOX,FOX36FactoryE-OptimizedGrip2,309,Yes,No,No,M1 Sporttechnik,8474,2021,unisex,S-Pedelec
MountainBike/ATB,28,"M,L",49,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,750,21,36,underpipe,derailleur,12,ShimanoXT12G(10-51),"['Hydraulische', 'Scheibenbremsen']",MaguraMT7,Yes/No,FOX,FOX36FactoryE-OptimizedGrip2,309,No,No,No,M1 Sporttechnik,8254,2021,unisex,Pedelec
MountainBike/ATB,28,"M,L",49,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,750,21,36,underpipe,derailleur,12,ShimanoXT,"['Hydraulische', 'Scheibenbremsen']",MaguraMT7,Yes/No,FOX,FOX36FactoryE-OptimizedGrip2,309,No,No,No,M1 Sporttechnik,7703,2021,unisex,Pedelec
City/Urban,28,"L,M",55,broseDriveS,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,hub,8,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,5172,2021,low step,Pedelec
City/Urban,28,"L,XL",55,broseDriveS,midengine,250,20,Lithium-IonenAkku,522,15,36,underpipe,hub,8,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,5172,2021,male,Pedelec
City/Urban,28,"L,M",55,broseDriveS,midengine,250,20,Lithium-IonenAkku,756,21,36,underpipe,hub,8,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,5612,2021,male,Pedelec
City/Urban,28,"L,XL",55,broseDriveS,midengine,250,20,Lithium-IonenAkku,756,21,36,underpipe,hub,8,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,5612,2021,male,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,525,15,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,4181,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,735,20,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,4622,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,525,15,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,4181,2021,female,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,525,15,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,4181,2021,female,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,735,20,36,underpipe,hub,,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,5062,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,735,20,36,underpipe,hub,,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,5062,2021,female,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,525,15,36,underpipe,hub,,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,4622,2021,female,Pedelec
City/Urban,28,"M,L,XL",55,broseDriveS,midengine,250,20,Lithium-IonenAkku,735,20,36,underpipe,hub,8,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,6052,2021,low step,Pedelec
City/Urban,28,"M,L,XL",55,broseDriveS,midengine,250,20,Lithium-IonenAkku,525,15,36,underpipe,hub,8,,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,5612,2021,low step,Pedelec
,28,,,broseDriveS,midengine,250,28,Lithium-IonenAkku,525,15,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT5e,Yes/No,,,265,Yes,Yes,Yes,Qwic,4842,2021,unisex,S-Pedelec
TrekkingBike,28,M,55,broseDriveS,midengine,250,28,Lithium-IonenAkku,735,20,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT5e,Yes/No,,,265,Yes,Yes,Yes,Qwic,4842,2021,unisex,S-Pedelec
,28,,,broseDriveS,midengine,250,28,Lithium-IonenAkku,735,20,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT5e,Yes/No,,,265,Yes,Yes,Yes,Qwic,4842,2021,female,S-Pedelec
TrekkingBike,28,M,55,broseDriveS,midengine,250,28,Lithium-IonenAkku,525,15,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT5e,Yes/No,,,265,Yes,Yes,Yes,Qwic,4842,2021,female,S-Pedelec
,28,,,broseDriveS,midengine,250,28,Lithium-IonenAkku,525,15,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT5e,Yes/No,,,265,Yes,Yes,Yes,Qwic,5392,2021,female,S-Pedelec
TrekkingBike,28,"M,L",55,broseDriveS,midengine,250,28,Lithium-IonenAkku,735,20,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,5832,2021,female,S-Pedelec
,28,,,broseDriveS,midengine,250,28,Lithium-IonenAkku,735,20,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT4,Yes/No,,,265,Yes,Yes,Yes,Qwic,5832,2021,unisex,S-Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,625,17,36,underpipe,derailleur,12,ShimanoXT,"['Hydraulische', 'Scheibenbremsen']","Shimano7.100,4Kolben,oderMaguraMT7",Yes/No,FOX,FloatDPSPerformance,-,Yes,No,Yes,Leaos,6153,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,500,14,36,underpipe,derailleur,10,ShimanoXT,"['Hydraulische', 'Scheibenbremsen']",ShimanoDeoreo.MaguraMT7,Yes/No,SRSuntour,Raidon120mm,-,No,No,No,Leaos,3687,2021,unisex,Pedelec
TrekkingBike,29,"45,50,55,60",51,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,630,18,36,Oberrohr,derailleur,,ShimanoNexusoderRohloff,"['Hydraulische', 'Scheibenbremsen']",Magura,Yes/No,RockShox,"YariRC,150mm,tapered",-,No,No,No,Cheetah,3631,2021,unisex,Pedelec
City/Urban,28,"M,L",46,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,630,18,36,Oberrohr,derailleur,,ShimanoNexusoderRohloff,"['Hydraulische', 'Scheibenbremsen']",Magura,Yes/No,RockShox,"YariRC,150mm,tapered",-,No,No,No,Cheetah,3631,2021,unisex,Pedelec
,28,,,broseDriveSMag,midengine,250,20,Lithium-IonenAkku,630,18,36,Oberrohr,derailleur,,ShimanooderRohloff,"['Hydraulische', 'Scheibenbremsen']",Magura,Yes/No,RockShox,"YariRC,150mm,tapered",-,No,No,No,Cheetah,4016,2021,unisex,Pedelec
TrekkingBike,28,"M,L",55,broseDriveS,midengine,250,28,Lithium-IonenAkku,525,15,36,underpipe,hub,11,Alfine11Nabengetriebe,"['Hydraulische', 'Scheibenbremsen']",MaguraMT5e,Yes/No,,,265,Yes,Yes,Yes,Qwic,5392,2021,unisex,S-Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,500,14,36,underpipe,derailleur,10,ShimanoXT/Deore10,"['Hydraulische', 'Scheibenbremsen']",ShimanoHydraulic,No/No,,,-,Yes,No,Yes,Leaos,3687,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,500,14,36,underpipe,automatic,,Automatikschaltung,"['Hydraulische', 'Scheibenbremsen']",ShimanoDeoreoderMaguraMT5,No/No,,,-,Yes,No,Yes,Leaos,5272,2021,low step,Pedelec
City/Urban,28,"44,48,52,56",53,broseDriveT,midengine,250,20,Lithium-IonenAkku,450,13,36,porterrear,derailleur,10,ShimanoXT,"['Hydraulische', 'Felgenbremsen']",MaguraHS-11,Yes/No,SRSuntour,NCXD-LO,309,Yes,Yes,Yes,Campus,3268,2021,low step,Pedelec
City/Urban,28,45,53,broseDriveT,midengine,250,20,Lithium-IonenAkku,450,13,36,porterrear,derailleur,10,ShimanoXT,"['Hydraulische', 'Felgenbremsen']",MaguraHS-11,Yes/No,SRSuntour,NCXD-LO,265,Yes,Yes,Yes,Campus,3268,2021,low step,Pedelec
,28,,,broseDriveT,midengine,250,20,Lithium-IonenAkku,450,13,36,porterrear,derailleur,10,ShimanoXT,"['Hydraulische', 'Felgenbremsen']",MaguraHS-11,Yes/No,SRSuntour,NCXD-LO,309,Yes,Yes,Yes,Campus,3268,2021,low step,Pedelec
City/Urban,28,"44,48,52",53,broseDriveT,midengine,250,20,Lithium-IonenAkku,450,13,36,porterrear,derailleur,10,ShimanoXT,"['Hydraulische', 'Felgenbremsen']",MaguraHS-11,Yes/No,SRSuntour,NCXD-LO,265,Yes,Yes,Yes,Campus,3268,2021,low step,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,500,14,36,underpipe,derailleur,10,ShimanoXT,"['Hydraulische', 'Scheibenbremsen']",ShimanoMT200Disk,Yes/No,SRSuntour,Raidon120mm,309,Yes,Yes,Yes,Campus,4093,2021,unisex,Pedelec
MountainBike/ATB,28,"44,48,52",57,broseDriveS,midengine,250,20,Lithium-IonenAkku,500,14,36,underpipe,derailleur,10,ShimanoXT,"['Hydraulische', 'Scheibenbremsen']",ShimanoMT200Disk,Yes/No,SRSuntour,Raidon120mm,309,Yes,Yes,Yes,Campus,4093,2021,unisex,Pedelec
,28,,,broseDriveS,midengine,250,20,Lithium-IonenAkku,500,14,36,underpipe,derailleur,10,ShimanoXT,"['Hydraulische', 'Scheibenbremsen']",ShimanoMT200Disk,Yes/No,SRSuntour,Raidon120mm,309,No,No,No,Campus,3928,2021,unisex,Pedelec
MountainBike/ATB,28,"44,48,52",55,broseDriveS,midengine,250,20,Lithium-IonenAkku,500,14,36,underpipe,derailleur,10,ShimanoXT,"['Hydraulische', 'Scheibenbremsen']",ShimanoMT200Disk,Yes/No,SRSuntour,Raidon120mm,309,No,No,No,Campus,3928,2021,unisex,Pedelec
